iter	Passed	Remaining
645	10286	21561
646	10303	21547
647	10318	21528
648	10332	21509
649	10348	21493
650	10366	21481
651	10381	21463
652	10394	21442
653	10408	21421
654	10420	21397
655	10434	21378
656	10448	21358
657	10465	21344
658	10480	21325
659	10497	21312
660	10514	21299
661	10531	21284
662	10618	21412
663	10648	21426
664	10677	21435
665	10694	21421
666	10710	21404
667	10725	21386
668	10740	21369
669	10756	21351
670	10774	21339
671	10788	21320
672	10801	21298
673	10815	21277
674	10828	21255
675	10842	21235
676	10856	21215
677	10870	21196
678	10885	21176
679	10899	21158
680	10913	21137
681	10929	21121
682	10943	21102
683	10958	21083
684	10972	21064
685	10988	21048
686	11002	21028
687	11015	21006
688	11028	20985
689	11042	20964
690	11057	20945
691	11071	20927
692	11087	20911
693	11102	20893
694	11117	20875
695	11133	20859
696	11150	20844
697	11165	20826
698	11180	20809
699	11196	20792
700	11213	20778
701	11229	20763
702	11246	20749
703	11261	20731
704	11275	20711
705	11289	20691
706	11302	20671
707	11316	20650
708	11329	20629
709	11344	20611
710	11358	20593
711	11373	20574
712	11388	20557
713	11404	20541
714	11420	20524
715	11434	20504
716	11448	20485
717	11462	20466
718	11475	20446
719	11489	20425
720	11503	20406
721	11516	20385
722	11529	20364
723	11544	20345
724	11559	20328
725	11574	20310
726	11588	20292
727	11603	20273
728	11620	20259
729	11634	20241
730	11652	20228
731	11667	20211
732	11682	20193
733	11696	20174
734	11710	20154
735	11725	20137
736	11742	20122
737	11759	20109
738	11775	20092
739	11789	20073
740	11804	20055
741	11820	20039
742	11833	20020
743	11847	20000
744	11861	19981
745	11875	19962
746	11888	19942
747	11901	19921
748	11914	19900
749	11927	19878
750	11940	19857
751	11952	19836
752	11967	19818
753	11982	19800
754	11997	19783
755	12011	19765
756	12028	19751
757	12042	19731
758	12057	19714
759	12073	19698
760	12088	19681
761	12101	19661
762	12114	19640
763	12126	19618
764	12140	19599
765	12153	19578
766	12166	19558
767	12181	19540
768	12196	19523
769	12210	19505
770	12226	19488
771	12241	19471
772	12257	19455
773	12269	19435
774	12283	19415
775	12296	19394
776	12308	19374
777	12321	19353
778	12334	19333
779	12348	19314
780	12360	19293
781	12373	19272
782	12389	19256
783	12402	19236
784	12416	19218
785	12432	19202
786	12448	19186
787	12463	19170
788	12476	19149
789	12488	19128
790	12501	19107
791	12513	19086
792	12526	19065
793	12539	19046
794	12552	19025
795	12565	19005
796	12578	18985
797	12589	18963
798	12603	18945
799	12618	18927
800	12633	18910
801	12647	18892
802	12661	18874
803	12677	18859
804	12691	18840
805	12704	18820
806	12718	18801
807	12731	18781
808	12744	18762
809	12757	18742
810	12771	18724
811	12784	18704
812	12796	18683
813	12812	18667
814	12828	18651
815	12907	18728
816	12943	18741
817	12970	18742
818	12986	18727
819	13001	18708
820	13014	18689
821	13029	18672
822	13043	18654
823	13058	18636
824	13071	18617
825	13086	18599
826	13102	18584
827	13119	18569
828	13134	18552
829	13149	18536
830	13164	18519
831	13180	18503
832	13194	18484
833	13209	18468
834	13226	18453
835	13242	18437
836	13256	18420
837	13272	18403
838	13287	18387
839	13302	18370
840	13320	18356
841	13335	18339
842	13349	18322
843	13363	18303
844	13376	18283
845	13389	18264
846	13401	18243
847	13413	18222
848	13427	18203
849	13439	18183
850	13454	18165
851	13469	18148
852	13483	18131
853	13499	18115
854	13514	18098
855	13532	18084
856	13547	18068
857	13564	18054
858	13584	18044
859	13599	18027
860	13614	18009
861	13628	17992
862	13643	17975
